,datetime,Temp(C),lat_x,long_x,WindDir,Wind Speed(km/h),lat_y,long_y,Unnamed: 0,Year,Month,Day,UTC Hour,PM2.5,PM10_mask,Retrospective
0,2016-03-03 16:00:00,34.6,13.754,100.5014,60,12,13.754000000000001,100.5014,1,2016,3,3,9,62.9,1.0,0
1,2016-03-03 19:00:00,29.1,13.754,100.5014,70,11,13.754000000000001,100.5014,4,2016,3,3,12,47.9,1.0,0
2,2016-03-03 22:00:00,27.3,13.754,100.5014,70,15,13.754000000000001,100.5014,7,2016,3,3,15,33.6,1.0,0
3,2016-03-04 04:00:00,25.8,13.754,100.5014,115,11,13.754000000000001,100.5014,12,2016,3,3,21,45.5,1.0,0
4,2016-03-04 07:00:00,26.1,13.754,100.5014,95,12,13.754000000000001,100.5014,15,2016,3,4,0,42.1,1.0,0
5,2016-03-04 10:00:00,30.7,13.754,100.5014,105,13,13.754000000000001,100.5014,18,2016,3,4,3,37.5,1.0,0
6,2016-03-04 13:00:00,32.9,13.754,100.5014,115,10,13.754000000000001,100.5014,21,2016,3,4,6,43.8,1.0,0
7,2016-03-04 16:00:00,33.2,13.754,100.5014,90,7,13.754000000000001,100.5014,24,2016,3,4,9,35.0,1.0,0
8,2016-03-04 19:00:00,28.3,13.754,100.5014,75,13,13.754000000000001,100.5014,27,2016,3,4,12,32.1,1.0,0
9,2016-03-04 22:00:00,27.6,13.754,100.5014,90,14,13.754000000000001,100.5014,30,2016,3,4,15,32.9,1.0,0
10,2016-03-05 01:00:00,26.9,13.754,100.5014,110,13,13.754000000000001,100.5014,33,2016,3,4,18,28.1,1.0,0
11,2016-03-05 04:00:00,26.3,13.754,100.5014,130,10,13.754000000000001,100.5014,36,2016,3,4,21,33.3,1.0,0
12,2016-03-05 07:00:00,26.6,13.754,100.5014,145,17,13.754000000000001,100.5014,39,2016,3,5,0,33.3,1.0,0
13,2016-03-05 10:00:00,31.4,13.754,100.5014,140,16,13.754000000000001,100.5014,42,2016,3,5,3,33.3,1.0,0
14,2016-03-05 13:00:00,32.7,13.754,100.5014,130,16,13.754,100.5014,45,2016,3,5,6,33.3,1.0,0
15,2016-03-05 16:00:00,32.7,13.754,100.5014,125,13,13.754000000000001,100.5014,48,2016,3,5,9,33.3,1.0,0
16,2016-03-05 19:00:00,28.5,13.754,100.5014,120,16,13.754000000000001,100.5014,51,2016,3,5,12,33.3,1.0,0
17,2016-03-05 22:00:00,27.9,13.754,100.5014,130,14,13.754000000000001,100.5014,54,2016,3,5,15,33.3,1.0,0
18,2016-03-06 01:00:00,27.2,13.754,100.5014,110,7,13.754000000000001,100.5014,57,2016,3,5,18,20.0,1.0,0
19,2016-03-06 04:00:00,26.6,13.754,100.5014,110,7,13.754000000000001,100.5014,60,2016,3,5,21,25.9,1.0,0
20,2016-03-06 07:00:00,26.9,13.754,100.5014,125,10,13.754000000000001,100.5014,63,2016,3,6,0,24.0,1.0,0
21,2016-03-06 10:00:00,31.7,13.754,100.5014,120,11,13.754000000000001,100.5014,66,2016,3,6,3,23.8,1.0,0
22,2016-03-06 13:00:00,33.3,13.754,100.5014,130,16,13.754000000000001,100.5014,69,2016,3,6,6,41.0,1.0,0
23,2016-03-06 16:00:00,33.1,13.754,100.5014,140,12,13.754000000000001,100.5014,72,2016,3,6,9,34.1,1.0,0
24,2016-03-06 19:00:00,29.2,13.754,100.5014,155,16,13.754000000000001,100.5014,75,2016,3,6,12,26.7,1.0,0
25,2016-03-06 22:00:00,28.2,13.754,100.5014,155,13,13.754000000000001,100.5014,78,2016,3,6,15,27.5,1.0,0
26,2016-03-07 01:00:00,27.4,13.754,100.5014,170,12,13.754000000000001,100.5014,81,2016,3,6,18,30.1,1.0,0
27,2016-03-07 04:00:00,26.8,13.754,100.5014,175,13,13.754000000000001,100.5014,84,2016,3,6,21,32.4,1.0,0
28,2016-03-07 07:00:00,27.2,13.754,100.5014,190,15,13.754000000000001,100.5014,87,2016,3,7,0,31.3,1.0,0
29,2016-03-07 10:00:00,32.0,13.754,100.5014,180,13,13.754000000000001,100.5014,90,2016,3,7,3,24.9,1.0,0
30,2016-03-07 13:00:00,33.9,13.754,100.5014,175,9,13.754000000000001,100.5014,93,2016,3,7,6,37.3,1.0,0
31,2016-03-07 16:00:00,33.9,13.754,100.5014,185,8,13.754000000000001,100.5014,96,2016,3,7,9,30.9,1.0,0
32,2016-03-07 19:00:00,28.7,13.754,100.5014,205,6,13.754000000000001,100.5014,99,2016,3,7,12,27.6,1.0,0
33,2016-03-07 22:00:00,28.0,13.754,100.5014,225,6,13.754000000000001,100.5014,102,2016,3,7,15,25.5,1.0,0
34,2016-03-08 01:00:00,27.7,13.754,100.5014,210,13,13.754000000000001,100.5014,105,2016,3,7,18,28.5,1.0,0
35,2016-03-08 04:00:00,27.2,13.754,100.5014,220,19,13.754000000000001,100.5014,108,2016,3,7,21,30.2,1.0,0
36,2016-03-08 07:00:00,27.5,13.754,100.5014,225,19,13.754000000000001,100.5014,111,2016,3,8,0,26.6,1.0,0
37,2016-03-08 10:00:00,32.2,13.754,100.5014,240,16,13.754000000000001,100.5014,114,2016,3,8,3,28.8,1.0,0
38,2016-03-08 13:00:00,33.8,13.754,100.5014,275,12,13.754000000000001,100.5014,117,2016,3,8,6,36.5,1.0,0
39,2016-03-08 16:00:00,34.6,13.754,100.5014,285,10,13.754000000000001,100.5014,120,2016,3,8,9,23.4,1.0,0
40,2016-03-08 19:00:00,29.2,13.754,100.5014,290,15,13.754000000000001,100.5014,123,2016,3,8,12,24.8,1.0,0
41,2016-03-08 22:00:00,28.3,13.754,100.5014,295,13,13.754000000000001,100.5014,126,2016,3,8,15,22.4,1.0,0
42,2016-03-09 01:00:00,28.0,13.754,100.5014,230,18,13.754000000000001,100.5014,129,2016,3,8,18,27.3,1.0,0
43,2016-03-09 04:00:00,27.5,13.754,100.5014,230,18,13.754,100.5014,132,2016,3,8,21,33.0,1.0,0
44,2016-03-09 07:00:00,27.8,13.754,100.5014,260,10,13.754000000000001,100.5014,135,2016,3,9,0,23.0,1.0,0
45,2016-03-09 10:00:00,32.2,13.754,100.5014,255,8,13.754000000000001,100.5014,138,2016,3,9,3,22.2,1.0,0
46,2016-03-09 13:00:00,34.6,13.754,100.5014,245,9,13.754000000000001,100.5014,141,2016,3,9,6,35.5,1.0,0
